Outcome,effect,term,estimate,std.error,statistic,conf.low,conf.high
FATP,fixed,followup_period6–12m:SurgeryTypeNameOAGB,-1.2753713009005008,0.33530680626175474,-3.8035950272506303,-1.9325605649446893,-0.6181820368563121
FATP,fixed,followup_period12–24m:SurgeryTypeNameOAGB,-3.1435541627038237,0.4288220561404876,-7.330672752695246,-3.9840299485155923,-2.303078376892055
FATP,fixed,followup_period>24m:SurgeryTypeNameOAGB,-4.84257576936142,0.49828698116358294,-9.718447305312292,-5.819200306407231,-3.8659512323156093
FATP,fixed,followup_period0–1m:SurgeryTypeNameRYGB,-0.20353968261930006,0.6701090238595918,-0.3037411456526629,-1.5169292350993915,1.1098498698607913
FATP,fixed,followup_period1–6m:SurgeryTypeNameRYGB,-1.3812679988089782,0.4299926972989725,-3.212305714691213,-2.2240381991301974,-0.5384977984877589
FATP,fixed,followup_period6–12m:SurgeryTypeNameRYGB,-1.5787224790033652,0.4812336136720014,-3.280573995978986,-2.5219230299505497,-0.6355219280561805
FATP,fixed,followup_period12–24m:SurgeryTypeNameRYGB,-2.8250179033069203,0.5805776485129146,-4.865874376223217,-3.962929184621187,-1.6871066219926534
FATP,fixed,followup_period>24m:SurgeryTypeNameRYGB,-2.367695507348487,0.6465214960399533,-3.6622069364297976,-3.6348543548177505,-1.1005366598792237
PMM,fixed,(Intercept),60.00954611285178,0.7756205254295848,77.36972416970904,58.48935781733976,61.5297344083638
PMM,fixed,followup_period0–1m,-4.469193154282074,0.2832487171263823,-15.778335025213803,-5.024350438516957,-3.9140358700471913
PMM,fixed,followup_period1–6m,-6.1301119625794875,0.15562601647206128,-39.390020393408925,-6.435133349922165,-5.8250905752368105
PMM,fixed,followup_period6–12m,-8.512275795147392,0.19140489701897356,-44.47261239248016,-8.887422499769178,-8.137129090525606
PMM,fixed,followup_period12–24m,-9.586715039102184,0.24599881441194957,-38.97057415507813,-10.068863855589159,-9.10456622261521
PMM,fixed,followup_period>24m,-9.283086256609005,0.29393828298898406,-31.581753020435613,-9.859194704944956,-8.706977808273054
PMM,fixed,SurgeryTypeNameOAGB,-0.27866861808740734,0.4193849741462095,-0.6644697241591101,-1.1006480630712394,0.5433108268964248
PMM,fixed,SurgeryTypeNameRYGB,1.281169051964868,0.6439497811511383,1.9895480819554328,0.01905067305618746,2.5432874308735487
PMM,fixed,Age,-0.14334414395696263,0.01798933595626066,-7.968284338315218,-0.17860259453702493,-0.10808569337690033
PMM,fixed,SexMale,22.768141619442474,0.4391007979239036,51.85174275950235,21.907519869928823,23.628763368956125
PMM,fixed,T2DM_FBSYes,0.41904756584160996,0.4984742413530506,0.8406604214977165,-0.5579439944312954,1.3960391261145153
PMM,fixed,HTN_FBSYes,0.671425317603164,0.4855920501822431,1.3826942128710253,-0.28031761193299887,1.623168247139327
PMM,fixed,Hypothyroidism_FBSYes,0.11709918586023206,0.44961559700293385,0.26044289086232025,-0.7641311911529932,0.9983295628734573
PMM,fixed,followup_period0–1m:SurgeryTypeNameOAGB,0.5994964326740226,0.334545210155639,1.7919743415101401,-0.05620013043141314,1.2551929957794585
PMM,fixed,followup_period1–6m:SurgeryTypeNameOAGB,0.7529504956866148,0.18505467671018147,4.068800146379593,0.390249994163956,1.1156509972092734
PMM,fixed,followup_period6–12m:SurgeryTypeNameOAGB,0.8904593934909064,0.22611210633194015,3.9381323182389987,0.4472878086118127,1.33363097837
PMM,fixed,followup_period12–24m:SurgeryTypeNameOAGB,0.1601941735044791,0.28981167130631447,0.5527526644541618,-0.4078262645552574,0.7282146115642155
PMM,fixed,followup_period>24m:SurgeryTypeNameOAGB,-0.8795890941723324,0.33726892517416546,-2.607975501206087,-1.540624040618231,-0.2185541477264339
PMM,fixed,followup_period0–1m:SurgeryTypeNameRYGB,1.0588341836633797,0.45195448713483116,2.3427894042514477,0.1730196662278396,1.9446487010989197
PMM,fixed,followup_period1–6m:SurgeryTypeNameRYGB,1.341936577472592,0.2891279925635062,4.641323607494834,0.7752561251257554,1.9086170298194287
PMM,fixed,followup_period6–12m:SurgeryTypeNameRYGB,1.5466484878695737,0.3242922751100899,4.769304132651699,0.9110473081892426,2.182249667549905
PMM,fixed,followup_period12–24m:SurgeryTypeNameRYGB,1.1288922497956426,0.39157778219334105,2.882932334598732,0.36141389955062464,1.8963706000406606
PMM,fixed,followup_period>24m:SurgeryTypeNameRYGB,0.4079547844869093,0.43697977990603426,0.9335781728267465,-0.44850984610115724,1.264419415074976
FFM,fixed,(Intercept),63.417528224493694,0.807661119914325,78.5199716326829,61.834541517748335,65.00051493123905
FFM,fixed,followup_period0–1m,-4.7063552121877725,0.2969731081875372,-15.847748777359767,-5.2884118086122625,-4.124298615763283
FFM,fixed,followup_period1–6m,-6.495804880090763,0.16317099816567693,-39.80980047382683,-6.81561415981694,-6.175995600364585
FFM,fixed,followup_period6–12m,-9.012251577498152,0.20068214018297395,-44.90808982444148,-9.405581344597199,-8.618921810399105
FFM,fixed,followup_period12–24m,-10.133362572869276,0.25792013160509086,-39.28876164030796,-10.638876741703085,-9.627848404035467
FFM,fixed,followup_period>24m,-9.821353767776385,0.3081811562853423,-31.868767987497836,-10.425377734809565,-9.217329800743205
FFM,fixed,SurgeryTypeNameOAGB,-0.2762436015680765,0.4368801199204155,-0.6323098465052577,-1.1325129021736304,0.5800256990374775
