Outcome,SurgeryTypeName,followup_period,n,mean,sd,se,lower,upper,OutcomeLabel,period_index
BMI,SG,0–1m,126,40.358174591064454,4.926690438962247,0.4389044684117058,39.49792183297751,41.2184273491514,BMI (kg/m²),2
BMI,SG,1–6m,695,36.93985611401016,5.131358157155256,0.1946435093618487,36.558354835660936,37.32135739235939,BMI (kg/m²),3
BMI,SG,6–12m,356,31.839044945963312,4.605433188082571,0.2440874707939229,31.360633503207225,32.3174563887194,BMI (kg/m²),4
BMI,SG,12–24m,188,30.88409575279723,5.190078451804206,0.37852537462291314,30.142186018536318,31.62600548705814,BMI (kg/m²),5
BMI,SG,>24m,127,33.93196850393701,7.6675612355290275,0.6803860373693343,32.59841187069311,35.2655251371809,BMI (kg/m²),6
BMI,OAGB,Pre,1382,44.572206949766745,5.876372795508229,0.1580721345891385,44.26238556597203,44.88202833356146,BMI (kg/m²),1
BMI,OAGB,0–1m,316,41.068291144069235,4.976531927475713,0.27995179300874945,40.51958562977209,41.61699665836638,BMI (kg/m²),2
BMI,OAGB,1–6m,1623,37.15057156161475,5.1690609841613915,0.1283076042847851,36.899088657216566,37.40205446601293,BMI (kg/m²),3
BMI,OAGB,6–12m,910,31.627153844057858,4.736925556293239,0.15702755314276667,31.319379839898037,31.93492784821768,BMI (kg/m²),4
BMI,OAGB,12–24m,487,29.281663242003265,4.488066565114211,0.2033737089411829,28.883050772478548,29.680275711527983,BMI (kg/m²),5
BMI,OAGB,>24m,442,30.45683257918552,5.384184441388578,0.2560995374349857,29.954877485812947,30.958787672558092,BMI (kg/m²),6
BMI,RYGB,Pre,238,44.01752102122587,5.857141235022413,0.37966207579124506,43.273383352675026,44.76165868977671,BMI (kg/m²),1
BMI,RYGB,0–1m,84,39.87952383677165,4.58753675026307,0.5005412955112439,38.89846289756961,40.860584775973685,BMI (kg/m²),2
BMI,RYGB,1–6m,269,36.76910781094576,5.330221457010014,0.3249893380050931,36.13212870845578,37.40608691343574,BMI (kg/m²),3
BMI,RYGB,6–12m,216,30.976527776011714,4.655145815470148,0.31674255350428226,30.355712371143323,31.597343180880106,BMI (kg/m²),4
BMI,RYGB,12–24m,134,28.640447744113295,4.170651472161648,0.3602894120904864,27.93428049641594,29.34661499181065,BMI (kg/m²),5
BMI,RYGB,>24m,122,31.362377049180328,5.119690081864813,0.46351496106811363,30.453887725486826,32.27086637287383,BMI (kg/m²),6
FATP,SG,Pre,555,46.78188736454079,6.241015548770974,0.26491635627084587,46.262651306249936,47.30112342283165,Body fat percentage (%),1
FATP,SG,0–1m,126,45.411490073519815,6.258015342539766,0.5575083174513945,44.31877377131508,46.50420637572455,Body fat percentage (%),2
FATP,SG,1–6m,695,42.669961501179216,7.843515066213184,0.29752148485122304,42.08681939087082,43.25310361148761,Body fat percentage (%),3
FATP,SG,6–12m,356,34.92884440374909,8.92071462499582,0.4727969295318651,34.002162421866636,35.85552638563154,Body fat percentage (%),4
FATP,SG,12–24m,188,32.863574585504814,9.106222942126891,0.6641395660156356,31.56186103611417,34.16528813489546,Body fat percentage (%),5
FATP,SG,>24m,127,38.69224254544201,9.16199528358739,0.8129956154131004,37.098771139232326,40.28571395165169,Body fat percentage (%),6
FATP,OAGB,Pre,1382,48.17818607872984,5.618493346061733,0.15113527805208588,47.88196093374775,48.474411223711925,Body fat percentage (%),1
FATP,OAGB,0–1m,316,45.48822861558828,5.894010259498256,0.33156398154476713,44.83836321176053,46.13809401941602,Body fat percentage (%),2
FATP,OAGB,1–6m,1623,44.222753304660806,7.232769078180283,0.17953343472053154,43.87086777260856,44.57463883671305,Body fat percentage (%),3
FATP,OAGB,6–12m,910,34.41311210524716,8.70033798921111,0.2884133959305788,33.84782184922322,34.978402361271094,Body fat percentage (%),4
FATP,OAGB,12–24m,487,29.86532837850725,8.26644722145682,0.3745884796500176,29.131134958393215,30.599521798621286,Body fat percentage (%),5
FATP,OAGB,>24m,442,32.77993091070061,8.804797268145348,0.41880149763207425,31.95907997534174,33.60078184605947,Body fat percentage (%),6
FATP,RYGB,Pre,238,47.58931779732509,4.741139579457132,0.30732243292846556,46.986965828785294,48.19166976586488,Body fat percentage (%),1
FATP,RYGB,0–1m,84,45.43087994521481,4.854396220614127,0.5296580508159949,44.39275016561546,46.469009724814164,Body fat percentage (%),2
FATP,RYGB,1–6m,269,42.035518069793696,6.696785762907796,0.40831023427498997,41.235230010614714,42.83580612897268,Body fat percentage (%),3
FATP,RYGB,6–12m,216,34.43986207581745,6.640003291769582,0.45179499875655915,33.5543438782546,35.325380273380304,Body fat percentage (%),4
FATP,RYGB,12–24m,134,30.44427490936809,7.540488597146068,0.6513990012530773,29.167532866912058,31.721016951824122,Body fat percentage (%),5
FATP,RYGB,>24m,122,36.3113296084107,7.98289564102776,0.7227374124400174,34.89476428002827,37.727894936793135,Body fat percentage (%),6
FFM,SG,Pre,555,65.43747745960682,16.042413326224715,0.6809625213978568,64.10279091766702,66.77216400154663,Fat-free mass (kg),1
FFM,SG,0–1m,126,59.71190477401491,12.680836616482908,1.129698714203256,57.49769529417653,61.92611425385329,Fat-free mass (kg),2
FFM,SG,1–6m,695,57.937553955736774,13.057938383249757,0.4953158353217669,56.96673491850611,58.908372992967436,Fat-free mass (kg),3
FFM,SG,6–12m,356,56.122191019808305,11.435254940117598,0.6060672996928456,54.93429911241033,57.31008292720628,Fat-free mass (kg),4
FFM,SG,12–24m,188,54.26063829787234,9.911212450063893,0.7228494598811982,52.84385335650519,55.67742323923949,Fat-free mass (kg),5
