Outcome,followup_period,SurgeryTypeName,emmean,SE,df,lower,upper,OutcomeLabel,period_index
FATP,0–1m,SG,43.525617089921646,0.48324173277081006,Inf,42.57848069786413,44.47275348197916,Body fat percentage (%),2
FATP,1–6m,SG,40.438303936390234,0.3331610332212167,Inf,39.7853203102245,41.09128756255597,Body fat percentage (%),3
FATP,6–12m,SG,32.93013264863097,0.37273443303028403,Inf,32.19958658409366,33.66067871316829,Body fat percentage (%),4
FATP,12–24m,SG,30.747385219292774,0.43793243435850704,Inf,29.88905342028815,31.605717018297398,Body fat percentage (%),5
FATP,>24m,SG,35.595941934593704,0.49816896200529737,Inf,34.61954871084762,36.57233515833979,Body fat percentage (%),6
FATP,Pre,OAGB,45.22621835341826,0.26030618531365357,Inf,44.71602760525049,45.736409101586034,Body fat percentage (%),1
FATP,0–1m,OAGB,44.492332597339285,0.3366104084817889,Inf,43.83258831989366,45.15207687478491,Body fat percentage (%),2
FATP,1–6m,OAGB,40.93345402150486,0.2582281138435642,Inf,40.42733621857576,41.439571824433955,Body fat percentage (%),3
FATP,6–12m,OAGB,32.245592087374085,0.2768751001324796,Inf,31.702926862898504,32.78825731184967,Body fat percentage (%),4
FATP,12–24m,OAGB,28.19466179623256,0.31185673450042967,Inf,27.583433828275446,28.805889764189672,Body fat percentage (%),5
FATP,>24m,OAGB,31.34419690487589,0.324926377885194,Inf,30.707352906593858,31.981040903157922,Body fat percentage (%),6
FATP,Pre,RYGB,43.36241018516996,0.4774566393339346,Inf,42.42661236789592,44.29820800244401,Body fat percentage (%),1
FATP,0–1m,RYGB,42.049099978697654,0.6070572679215748,Inf,40.85928959701808,43.238910360377226,Body fat percentage (%),2
FATP,1–6m,RYGB,37.78405850897657,0.47575180804494,Inf,36.85160209962868,38.716514918324464,Body fat percentage (%),3
FATP,6–12m,RYGB,30.078432741022922,0.4960787956975806,Inf,29.10613616796166,31.050729314084183,Body fat percentage (%),4
FATP,12–24m,RYGB,26.649389887381165,0.5473843138350227,Inf,25.57653634656235,27.72224342819998,Body fat percentage (%),5
FATP,>24m,RYGB,31.955268998640527,0.5694271568215248,Inf,30.839212279451296,33.07132571782976,Body fat percentage (%),6
PMM,Pre,SG,66.20912482497548,0.44346707322876705,Inf,65.33994533311771,67.07830431683324,Predicted muscle mass (kg),1
PMM,0–1m,SG,61.7399316706934,0.5017362382783109,Inf,60.7565467139293,62.7233166274575,Predicted muscle mass (kg),2
PMM,1–6m,SG,60.079012862395984,0.44197571298700244,Inf,59.21275638290005,60.94526934189192,Predicted muscle mass (kg),3
PMM,6–12m,SG,57.69684902982808,0.4562945602821369,Inf,56.80252812533355,58.59116993432261,Predicted muscle mass (kg),4
PMM,12–24m,SG,56.62240978587329,0.4821930436966193,Inf,55.67732878663217,57.56749078511441,Predicted muscle mass (kg),5
PMM,>24m,SG,56.926038568366465,0.5083837324975312,Inf,55.929624762345256,57.922452374387674,Predicted muscle mass (kg),6
PMM,Pre,OAGB,65.93045620688807,0.34960396106012587,Inf,65.24524503435768,66.61566737941845,Predicted muscle mass (kg),1
PMM,0–1m,OAGB,62.060759485280016,0.37847068559266633,Inf,61.31897057231421,62.802548398245825,Predicted muscle mass (kg),2
PMM,1–6m,OAGB,60.553294739995195,0.3490240864804421,Inf,59.869220100756536,61.237369379233854,Predicted muscle mass (kg),3
PMM,6–12m,OAGB,58.30863980523158,0.35557279452182994,Inf,57.61172993408653,59.005549676376624,Predicted muscle mass (kg),4
PMM,12–24m,OAGB,56.50393534129036,0.3686236869588685,Inf,55.78144619100261,57.22642449157811,Predicted muscle mass (kg),5
PMM,>24m,OAGB,55.767780856106725,0.3739380422413095,Inf,55.03487576086434,56.50068595134911,Predicted muscle mass (kg),6
PMM,Pre,RYGB,67.49029387694034,0.6177622274634529,Inf,66.27950216010274,68.70108559377795,Predicted muscle mass (kg),1
