Followup,Outcome,Contrast,Estimate,SE,df,Lower,Upper,P_adjusted,Significant
6–12m,SMMI,SG - RYGB,-0.1260527390285866,0.06257529608436578,Inf,-0.27546614428390087,0.023360666226727667,0.12618333674742432,FALSE
6–12m,SMMI,OAGB - RYGB,0.035590375077486774,0.055599843672039365,Inf,-0.0971674781734562,0.16834822832842974,0.8908510473395386,FALSE
6–12m,ASM,SG - OAGB,-0.508491970513452,0.1304736787432374,Inf,-0.8200289165141861,-0.1969550245127178,2.9181349186724326e-4,TRUE
6–12m,ASM,SG - RYGB,-0.5958594544898846,0.18713287562410966,Inf,-1.0426837115340821,-0.14903519744568716,0.004349047972287634,TRUE
6–12m,ASM,OAGB - RYGB,-0.08736748397643268,0.16626940270687032,Inf,-0.4843752362802619,0.30964026832739655,0.9356466847642115,FALSE
12–24m,PMM,SG - OAGB,-0.1601941735044791,0.28981167130631447,Inf,-0.8521884811978803,0.5318001341889221,0.9261407942795336,FALSE
12–24m,PMM,SG - RYGB,-1.1288922497956426,0.39157778219334105,Inf,-2.063877356073847,-0.1939071435174381,0.011773254152429247,TRUE
12–24m,PMM,OAGB - RYGB,-0.9686980762911636,0.34102596855057693,Inf,-1.7829787018743968,-0.15441745070793034,0.013450387010690124,TRUE
12–24m,FFM,SG - OAGB,-0.17154973455100075,0.303856265571031,Inf,-0.8970788520788032,0.5539793829768017,0.9217963944395533,FALSE
12–24m,FFM,SG - RYGB,-1.2219482955154377,0.41055749729624486,Inf,-2.202251986630656,-0.24164460440021962,0.00872655299493097,TRUE
12–24m,FFM,OAGB - RYGB,-1.050398560964437,0.3575566006145355,Inf,-1.9041500030240117,-0.19664711890486242,0.009886537403578588,TRUE
12–24m,SMMI,SG - OAGB,0.009189041814385991,0.055905197337903834,Inf,-0.12429791595349754,0.1426759995822695,0.9977745480703273,FALSE
12–24m,SMMI,SG - RYGB,-0.10068049107881089,0.07555279833319464,Inf,-0.28108077013320054,0.0797197879755788,0.45399676069129746,FALSE
12–24m,SMMI,OAGB - RYGB,-0.10986953289319687,0.0658047317698244,Inf,-0.26699398408853925,0.04725491830214548,0.25876432884346656,FALSE
12–24m,ASM,SG - OAGB,-0.045130602721089486,0.16721303185742512,Inf,-0.4443914940990428,0.35413028865686386,0.9903687714773038,FALSE
12–24m,ASM,SG - RYGB,-0.5447223516338298,0.22595205464355234,Inf,-1.084236633167735,-0.005208070099924411,0.04699825459465423,TRUE
12–24m,ASM,OAGB - RYGB,-0.4995917489127403,0.1967898686971983,Inf,-0.9694743741927319,-0.029709123632748635,0.03300891460046307,TRUE
>24m,PMM,SG - OAGB,0.8795890941723324,0.33726892517416546,Inf,0.07427930340232536,1.6848988849423394,0.02707573324967527,TRUE
>24m,PMM,SG - RYGB,-0.4079547844869093,0.43697977990603426,Inf,-1.451347960852414,0.6354383918785953,0.7260355075814415,FALSE
>24m,PMM,OAGB - RYGB,-1.2875438786592417,0.3631909041059771,Inf,-2.154748560632587,-0.4203391966858965,0.0011769820205971282,TRUE
>24m,FFM,SG - OAGB,0.9158204014589357,0.3536111957013624,Inf,0.07148955219037978,1.7601512507274917,0.028524885726274762,TRUE
>24m,FFM,SG - RYGB,-0.4710072302200286,0.45815613658090976,Inf,-1.5649639957282584,0.6229495352882013,0.6627396382870354,FALSE
>24m,FFM,OAGB - RYGB,-1.3868276316789643,0.3807921999194681,Inf,-2.2960595945277227,-0.47759566883020566,8.115100390673202e-4,TRUE
>24m,SMMI,SG - OAGB,0.27148936014910774,0.06504923625219852,Inf,0.11616883422471289,0.42680988607350256,8.994529727535117e-5,TRUE
>24m,SMMI,SG - RYGB,0.06368311739338994,0.08429338083948436,Inf,-0.13758738166633608,0.264953616453116,0.8335821773477723,FALSE
>24m,SMMI,OAGB - RYGB,-0.2078062427557178,0.07006338597571732,Inf,-0.37509924394640415,-0.04051324156503147,0.009024470057859002,TRUE
>24m,ASM,SG - OAGB,0.6947229477897194,0.19458008564007365,Inf,0.2301167052374315,1.1593291903420073,0.001069049838284153,TRUE
>24m,ASM,SG - RYGB,-0.106402781387439,0.25212370066110235,Inf,-0.7084080936844545,0.4956025309095765,0.9650361317344889,FALSE
>24m,ASM,OAGB - RYGB,-0.8011257291771584,0.2095551567220272,Inf,-1.3014885163134053,-0.30076294204091136,3.954890256417931e-4,TRUE
